Year,Catches
1985,6.014474361021762
1986,7.277854108519669
1987,160.6288267521243
1988,15.960097278018328
1989,10.444099203794291
1990,12.207968281158438
1991,61.938446868178545
1992,24.66649727377368
1993,27.797786769290227
1994,51.81133878831388
1995,65.42174688882558
1996,48.032266755450536
1997,79.85211025326187
1998,50.15860182278227
1999,59.111932358521074
2000,70.28804881584799
2001,50.2243912208922
2002,90.08636089485691
2003,98.7721405063064
2004,80.43915160859815
2005,82.7757636810213
2006,96.64801646555834
2007,97.03292805907763
2008,141.50578594834687
2009,86.47287056139396
2010,110.94565335044005
2011,141.35761218222902
2012,138.80632837080742
2013,147.77757279468278
2014,169.95743670877863
2015,189.61779919149689
2016,160.556256419078
2017,187.29053231804193
2018,211.15209110113628
