year,catch_mt,stock
1888,11.350000000000001,YEI
1889,10,YEI
1890,10.65,YEI
1891,16.55,YEI
1892,21.3,YEI
1893,24.700000000000003,YEI
1894,29.05,YEI
1895,32.9,YEI
1896,41.75,YEI
1897,50.800000000000004,YEI
1898,59.85,YEI
1899,68.95,YEI
1900,103.4,YEI
1901,137.9,YEI
1902,172.35000000000002,YEI
1903,194.35000000000002,YEI
1904,216.60000000000002,YEI
1905,169.65,YEI
1906,277.6,YEI
1907,385.55,YEI
1908,390.3,YEI
1909,395.1,YEI
1910,399.85,YEI
1911,439.1,YEI
1912,459.05,YEI
1913,427.5,YEI
1914,342.90000000000003,YEI
1915,339.5,YEI
1916,233.60000000000002,YEI
1917,237.45000000000002,YEI
1918,202.55,YEI
1919,205.25,YEI
1920,249.70000000000002,YEI
1921,231.8,YEI
1922,209.10000000000002,YEI
1923,220.45000000000002,YEI
1924,223.60000000000002,YEI
1925,181.20000000000002,YEI
1926,162.60000000000002,YEI
1927,168.3,YEI
1928,171.9,YEI
1929,223.4,YEI
1930,193.45000000000002,YEI
1931,167.60000000000002,YEI
1932,175.55,YEI
1933,184.85000000000002,YEI
1934,174.20000000000002,YEI
1935,171.9,YEI
1936,198.45000000000002,YEI
1937,178.5,YEI
1938,162.15,YEI
1939,148.8,YEI
1940,172.8,YEI
1941,164.45000000000002,YEI
1942,189.35000000000002,YEI
1943,184.85000000000002,YEI
1944,235.4,YEI
1945,192.55,YEI
1946,224.55,YEI
1947,215.45000000000002,YEI
1948,221.15,YEI
1949,214.3,YEI
1950,200.5,YEI
1951,226.10000000000002,YEI
1952,216.8,YEI
1953,190.75,YEI
1954,250.4,YEI
1955,193.70000000000002,YEI
1956,329.1,YEI
1957,277.85,YEI
1958,254,YEI
1959,295.5,YEI
1960,288.5,YEI
1961,278.75,YEI
1962,300.3,YEI
1963,232.25,YEI
1964,168.5,YEI
1965,273.75,YEI
1966,273.05,YEI
1967,213.4,YEI
1968,138.55,YEI
1969,211.60000000000002,YEI
1970,212.5,YEI
1971,149.9,YEI
1972,131.1,YEI
1973,135.6,YEI
1974,127,YEI
1975,141.5,YEI
1976,125.4,YEI
1977,72.35000000000001,YEI
1978,98,YEI
1979,102.75,YEI
1980,73.5,YEI
1981,90.95,YEI
1982,79.4,YEI
1983,144.70000000000002,YEI
1984,133.15,YEI
1985,12.196762293759999,BRF
1985,179.01543064968,YEI
1986,16.9177569016,BRF
1986,293.04583088404,YEI
1987,174.0793336436,BRF
1987,281.93261596376004,YEI
1988,61.66762998509599,BRF
1988,150.928741514286,YEI
1989,11.011608951504,BRF
1989,98.478680659766,YEI
1990,12.54965913772,BRF
1990,87.07635595091399,YEI
1991,62.12756501562401,BRF
1991,98.092676702716,YEI
1992,35.77217701028,BRF
1992,117.091502360516,YEI
1993,26.021802387192,BRF
1993,120.34079799310399,YEI
1994,46.822528161688005,BRF
1994,86.811905918218,YEI
1995,58.16422462984,BRF
1995,46.12742268886,YEI
1996,37.121533831680004,BRF
1996,28.24096337226,YEI
1997,68.21252120007999,BRF
1997,39.35892173088,YEI
1998,35.146131599840004,BRF
1998,50.3653531565,YEI
1999,25.261921935599997,BRF
1999,53.367387285038,YEI
2000,21.963360088319998,BRF
2000,56.82278865874,YEI
2001,13.21420543712,BRF
2001,55.381695803688,YEI
2002,49.258617026,BRF
2002,59.698887391,YEI
2003,49.367007370319996,BRF
2003,67.88682513438,YEI
2004,29.54301848592,BRF
2004,54.462744946819996,YEI
2005,13.08383402448,BRF
2005,43.878382011179994,YEI
2006,11.226671342929599,BRF
2006,55.19505230957044,YEI
2007,8.7652695956208,BRF
2007,48.00508692595256,YEI
2008,9.7072949043248,BRF
2008,38.18941481106412,YEI
2009,4.9526930755352,BRF
2009,29.6764272299706,YEI
2010,4.7152268680456,BRF
2010,43.5665775633536,YEI
2011,3.5837753712904,BRF
2011,32.06505291005856,YEI
2012,14.365154540636,BRF
2012,17.481087654734118,YEI
2013,8.1257615292616,BRF
2013,26.76459732995304,YEI
2014,5.2430340035136,BRF
2014,37.524439016739116,YEI
2015,10.064173787093601,BRF
2015,31.471704155039802,YEI
2016,11.6388815551,BRF
2016,28.80294623594284,YEI
2017,10.7294900135544,BRF
2017,24.38129053315996,YEI
2018,9.518602628129601,BRF
2018,44.31932391543368,YEI
2019,7.8625731173544,BRF
2019,40.828586003550036,YEI
2020,0.044452016,BRF
2020,0.59389411094832,YEI
