year,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72
1984,0,0,0,0,3,3,6,6,10,13,13,23,33,49,74,107,81,91,67,50,39,27,19
1987,0,3,5,8,14,13,19,17,38,44,66,77,78,95,105,80,89,55,34,37,27,14,23
1988,8,10,48,42,52,54,62,79,99,133,167,201,206,212,257,251,224,207,150,125,79,58,52
1989,1,0,4,15,11,18,20,23,36,41,42,62,70,49,63,43,39,30,29,28,10,8,13
1991,0,3,7,11,23,30,41,57,55,65,55,78,94,106,109,101,79,70,75,43,32,23,34
1992,3,7,23,33,45,71,99,110,135,146,114,134,151,181,188,174,175,141,137,106,63,42,41
1993,1,2,8,25,35,44,56,104,88,120,122,153,170,196,224,237,261,220,143,147,82,51,64
1998,0,0,1,6,1,9,15,33,27,53,51,61,74,85,61,75,71,65,62,46,23,13,12
2000,0,0,0,2,2,2,1,11,16,23,21,30,44,50,42,40,43,42,34,9,12,2,3
2001,0,0,0,0,0,0,3,5,3,16,20,30,22,36,40,33,29,30,13,11,4,8,4
2002,0,0,1,2,3,7,5,15,19,17,32,33,35,44,28,34,28,19,16,2,3,3,4
2003,0,1,2,3,11,14,17,21,35,36,42,53,41,56,50,52,30,37,23,14,7,12,6
2004,0,0,0,1,3,10,11,7,21,31,29,37,35,38,47,33,34,20,15,5,4,3,0
